,Coal,Lignite,Hydro,Nuclear,"Gas, Naptha & Diesel","RES (Wind, Solar, Biomass & Others)",Total
20190101,2587,92,254,80,125,273,3411
20190102,2581,90,241,75,122,266,3376
20190103,2611,94,247,76,124,261,3413
20190104,2642,99,261,85,116,258,3461
20190105,2663,96,242,87,130,267,3484
20190106,2646,97,238,87,123,262,3454
20190107,2513,92,224,87,119,300,3336
20190108,2593,92,251,87,117,300,3440
20190109,2683,91,242,87,129,261,3493
20190110,2669,96,249,86,130,256,3487
20190111,2670,92,257,87,142,260,3509
20190112,2714,99,253,86,130,250,3532
20190113,2698,99,249,87,128,250,3511
20190114,2562,94,218,87,122,289,3371
20190115,2496,87,232,87,119,329,3348
20190116,2567,80,236,86,122,272,3363
20190117,2626,88,241,86,123,240,3403
20190118,2637,91,245,87,123,258,3441
20190119,2679,98,249,87,124,262,3499
20190120,2675,101,248,87,117,247,3475
20190121,2578,96,224,87,117,265,3366
20190122,2548,88,243,85,115,291,3370
20190123,2539,89,261,83,116,238,3326
20190124,2654,89,257,83,118,230,3430
20190125,2614,85,243,83,108,283,3416
20190126,2564,84,247,82,114,251,3342
20190127,2380,85,230,84,110,271,3160
20190128,2378,84,229,85,106,274,3156
20190129,2511,86,247,85,111,290,3330
20190130,2581,82,245,85,107,283,3383
20190131,2644,80,238,86,111,279,3437
20190201,2634,77,239,87,106,282,3425
20190202,2586,71,254,86,102,321,3419
20190203,2567,78,246,84,106,327,3409
20190204,2485,78,227,86,104,335,3315
20190205,2549,81,247,83,102,339,3401
20190206,2683,82,251,90,101,288,3495
20190207,2673,81,247,88,100,305,3495
20190208,2560,82,223,81,99,318,3363
20190209,2603,86,248,76,98,260,3370
20190210,2610,84,240,64,94,278,3369
20190211,2551,83,223,64,95,282,3298
20190212,2577,80,235,79,93,332,3396
20190213,2607,82,224,86,98,365,3461
20190214,2653,91,238,81,105,335,3503
20190215,2646,95,246,80,108,299,3474
20190216,2599,97,272,76,109,269,3424
20190217,2586,91,261,91,102,278,3409
20190218,2549,91,245,91,101,277,3354
20190219,2578,89,255,91,113,297,3423
20190220,2694,91,275,91,113,256,3519
20190221,2673,91,261,90,111,299,3525
20190222,2674,90,288,90,106,307,3555
20190223,2664,89,309,93,111,317,3583
20190224,2663,86,296,96,110,319,3570
20190225,2596,79,283,97,111,295,3462
20190226,2656,90,290,97,105,288,3526
20190227,2669,80,282,98,107,308,3544
20190228,2644,82,272,97,105,295,3495
20190301,2634,81,276,93,104,307,3495
20190302,2707,87,280,94,110,289,3566
20190303,2646,80,267,94,105,341,3533
20190304,2564,80,253,95,105,265,3362
20190305,2647,93,266,96,102,284,3488
20190306,2718,94,272,95,105,300,3584
20190307,2727,95,272,93,102,290,3580
20190308,2795,101,281,90,104,278,3651
20190309,2789,86,283,91,103,305,3657
20190310,2775,85,285,90,96,296,3628
20190311,2726,79,250,90,109,280,3536
20190312,2797,92,277,91,113,297,3668
20190313,2817,104,276,90,114,301,3702
20190314,2821,101,283,82,114,301,3702
20190315,2797,87,276,89,114,311,3675
20190316,2744,88,290,90,116,337,3666
20190317,2750,82,279,91,115,350,3667
20190318,2688,87,260,91,110,308,3544
20190319,2803,83,278,86,122,281,3653
20190320,2860,81,301,85,117,299,3742
20190321,2848,94,296,85,114,300,3738
20190322,2511,85,280,85,97,300,3358
20190323,2637,89,286,86,105,296,3499
20190324,2760,88,286,86,111,292,3622
20190325,2751,91,273,89,109,293,3605
20190326,2853,94,291,91,105,294,3728
20190327,2852,92,307,91,108,302,3752
20190328,2900,91,308,91,111,287,3787
20190329,2933,90,308,92,109,290,3822
20190330,2969,90,333,88,109,295,3885
20190331,3009,91,351,87,106,322,3967
20190401,2723,89,324,87,97,340,3660
20190402,2781,86,350,88,110,303,3718
20190403,2895,88,352,88,126,283,3832
20190404,2935,96,366,89,125,291,3900
20190405,2977,99,342,88,124,304,3933
20190406,2910,93,339,88,123,333,3886
20190407,2854,92,338,87,114,330,3815
20190408,2628,84,327,87,113,330,3569
20190409,2868,87,346,87,125,330,3844
20190410,2825,93,342,86,129,350,3826
20190411,2848,101,370,86,134,316,3854
20190412,2808,99,427,87,131,334,3884
20190413,2901,96,388,82,141,310,3919
20190414,2880,94,375,85,134,326,3894
20190415,2791,93,362,87,124,305,3763
20190416,2836,92,363,93,132,355,3871
20190417,2657,83,377,92,135,321,3666
20190418,2512,85,384,95,115,300,3490
20190419,2588,81,356,96,113,297,3531
20190420,2650,81,338,96,117,304,3585
20190421,2702,86,348,96,115,304,3651
20190422,2617,83,336,94,121,309,3560
20190423,2770,81,372,92,123,319,3758
20190424,2793,77,396,91,124,326,3807
20190425,2855,85,422,91,124,328,3905
20190426,2963,90,454,92,124,310,4033
20190427,2960,89,466,91,130,309,4045
20190428,2959,87,462,93,123,310,4034
20190429,2842,80,443,94,113,309,3881
20190430,2921,81,447,95,127,358,4028
20190501,2824,73,443,95,123,456,4014
20190502,2623,71,445,95,120,434,3788
20190503,2619,71,474,95,134,467,3859
20190504,2537,77,451,95,130,475,3765
20190505,2577,74,472,95,124,444,3787
20190506,2627,76,469,96,114,346,3728
20190507,2794,78,492,95,123,368,3950
20190508,2792,73,453,95,130,477,4019
20190510,2851,74,489,95,129,468,4107
20190511,2902,83,519,95,129,388,4116
20190512,2858,84,509,95,135,380,4061
20190513,2774,83,474,95,133,338,3897
20190514,2801,79,451,95,140,399,3964
20190515,2749,72,459,95,131,444,3951
20190516,2821,82,454,92,122,393,3964
20190517,2883,83,436,91,121,352,3967
20190518,2835,78,454,94,122,360,3942
20190519,2767,74,479,104,117,338,3880
20190520,2770,79,469,111,121,324,3874
20190521,2908,91,514,113,141,307,4075
20190522,3004,91,499,115,141,322,4171
20190523,3003,86,477,114,136,332,4148
20190524,2971,90,509,115,141,362,4188
20190525,2860,87,479,116,130,367,4038
20190526,2851,89,450,116,130,368,4003
20190527,2768,78,431,117,121,412,3926
20190528,2942,80,463,116,130,374,4107
20190529,3003,83,451,116,147,399,4199
20190530,3060,85,418,116,146,380,4205
20190531,3073,83,435,116,146,378,4232
20190601,2995,87,459,110,142,392,4186
20190602,2879,92,484,104,132,415,4106
20190603,2803,82,468,104,123,445,4025
20190604,2732,66,476,104,131,493,4002
20190605,2829,70,502,92,141,471,4104
20190606,2986,73,505,82,143,389,4177
20190607,2939,72,499,81,139,374,4105
20190608,2879,71,507,81,142,379,4060
20190609,2910,77,516,107,142,344,4096
20190610,2879,73,491,113,123,359,4038
20190612,2891,76,493,117,153,460,4187
20190613,2751,70,484,109,150,427,3990
20190614,2683,70,483,117,131,488,3972
20190615,2853,76,479,97,136,488,4128
20190616,2756,68,481,117,135,554,4110
20190617,2553,64,500,112,121,558,3908
20190618,2595,66,513,109,124,613,4020
20190619,2618,70,492,107,119,529,3935
20190620,2698,68,485,111,127,519,4009
20190621,2754,75,476,112,131,484,4031
20190622,2820,84,486,112,141,415,4059
20190623,2780,89,463,112,152,381,3975
20190624,2674,80,472,113,135,354,3827
20190625,2765,78,503,113,140,324,3923
20190626,2835,84,505,112,134,367,4038
20190627,2811,85,511,112,128,420,4066
20190628,2750,81,505,112,114,516,4079
20190629,2714,79,509,112,112,556,4082
20190630,2704,82,504,113,112,540,4054
20190701,2571,79,502,113,104,512,3881
20190702,2674,79,524,112,112,479,3980
20190703,2644,85,522,108,128,461,3949
20190704,2671,86,548,109,142,484,4041
20190705,2605,81,532,108,114,534,3973
20190706,2507,81,533,108,109,552,3890
20190707,2408,78,515,110,110,548,3769
20190708,2236,72,546,110,106,545,3616
20190709,2378,67,567,111,115,581,3818
20190710,2353,65,545,79,103,593,3738
20190711,2379,63,550,111,108,591,3802
20190712,2351,62,566,112,110,594,3794
20190713,2497,71,583,112,117,512,3890
20190714,2491,70,566,112,111,533,3883
20190715,2324,64,531,109,109,570,3708
20190716,2389,66,542,112,111,598,3818
20190717,2397,63,558,116,114,540,3788
20190718,2549,72,537,118,107,452,3836
20190719,2641,78,569,114,144,414,3959
20190720,2697,83,549,118,172,357,3976
20190721,2693,79,560,119,147,341,3939
20190722,2624,75,551,118,110,349,3827
20190723,2747,79,573,118,127,358,4000
20190724,2825,80,555,118,128,365,4071
20190725,2714,77,548,118,127,471,4054
20190726,2490,71,523,118,116,514,3832
20190727,2353,74,538,118,112,514,3710
20190728,2208,72,516,118,113,541,3567
20190729,2089,73,536,119,111,511,3438
20190730,2222,71,543,118,115,520,3589
20190731,2349,75,556,118,112,474,3684
20190801,2353,78,543,119,114,525,3731
20190802,2340,72,573,119,113,543,3759
20190803,2277,77,579,119,113,513,3678
20190804,2241,76,583,119,113,490,3622
20190805,2192,75,564,113,106,490,3540
20190806,2288,76,609,113,125,543,3754
20190807,2196,75,610,113,130,532,3657
20190808,2118,71,614,113,121,521,3558
20190809,2185,76,608,110,121,468,3568
20190810,2127,77,600,110,122,529,3566
20190811,2127,77,695,110,122,529,3660
20190812,2165,69,696,112,113,506,3661
20190813,2335,79,714,106,138,448,3820
20190814,2318,69,716,111,133,432,3779
20190815,2262,64,733,112,117,442,3729
20190816,1978,59,722,83,103,407,3351
20190817,2091,60,744,115,101,447,3558
20190818,2091,65,758,111,105,352,3482
20190819,2064,70,664,114,110,306,3329
20190820,2246,77,690,114,121,305,3553
20190821,2308,76,755,112,127,329,3706
20190822,2284,73,751,113,121,447,3791
20190823,2342,62,727,113,117,424,3785
20190824,2354,64,727,114,134,437,3830
20190825,2267,65,730,114,108,461,3746
20190826,2258,64,629,114,108,430,3603
20190827,2347,71,700,113,113,419,3763
20190828,2455,81,733,113,112,422,3916
20190829,2576,77,748,114,123,370,4008
20190830,2621,73,751,114,135,370,4064
20190831,2604,73,705,114,130,416,4041
20190901,2574,68,707,114,136,400,3998
20190902,2368,57,698,114,126,346,3707
20190903,2378,55,706,114,113,346,3712
20190904,2422,59,717,113,125,375,3812
20190905,2399,65,735,114,121,390,3824
20190906,2353,69,746,113,122,432,3835
20190907,2322,76,791,114,128,448,3878
20190908,2263,75,812,113,134,438,3835
20190909,2182,71,794,116,110,421,3693
20190910,2305,76,816,119,125,443,3883
20190911,2399,81,814,119,132,415,3959
20190912,2429,78,793,119,142,396,3957
20190913,2346,73,795,119,128,428,3888
20190914,2322,71,790,118,129,410,3839
20190915,2342,74,773,117,135,387,3827
20190916,2266,77,773,116,125,377,3733
20190917,2339,80,794,115,133,397,3858
20190918,2394,73,750,107,147,328,3800
20190919,2372,70,734,103,159,278,3717
20190920,2370,73,738,104,153,262,3700
20190921,2418,76,727,104,158,284,3767
20190922,2435,79,714,113,153,263,3757
20190923,2254,74,695,115,135,237,3511
20190924,2389,78,686,116,146,219,3633
20190925,2356,77,691,116,164,188,3592
20190926,2265,76,694,116,154,220,3526
20190927,2176,77,691,115,146,225,3430
20190928,2096,74,703,114,142,214,3344
20190929,1991,76,687,112,145,231,3241
20190930,1820,66,665,112,127,258,3048
20191001,1915,72,703,112,135,254,3191
20191002,2006,74,679,113,132,280,3282
20191003,2001,74,637,112,127,236,3187
20191004,2152,76,630,112,148,235,3353
20191005,2240,78,582,113,144,228,3383
20191006,2294,75,564,113,138,207,3391
20191007,2211,69,539,116,138,207,3280
20191008,2228,69,528,116,132,202,3274
20191009,2052,63,556,117,133,209,3129
20191010,2191,73,590,117,139,204,3313
20191011,2320,74,590,117,144,195,3439
20191012,2376,75,581,117,140,184,3473
20191013,2393,78,534,116,139,194,3455
20191014,2316,77,509,116,140,200,3358
20191015,2415,80,529,113,144,213,3495
20191016,2479,81,525,93,144,213,3536
20191017,2502,87,494,93,140,214,3530
20191018,2484,91,494,109,139,202,3519
20191019,2445,88,460,116,139,215,3463
20191020,2385,83,421,103,134,243,3369
20191021,2259,82,407,103,128,215,3194
20191022,2223,82,457,103,130,206,3202
20191023,2240,85,476,106,131,199,3239
20191024,2209,83,454,115,134,227,3220
20191025,2138,83,438,117,120,263,3158
20191026,2116,78,439,114,103,285,3135
20191027,1983,74,435,112,96,305,3005
20191028,1850,70,416,113,94,222,2765
20191029,1783,72,431,117,95,200,2698
20191030,1881,78,431,119,96,215,2820
20191031,1948,78,448,123,97,229,2922
20191101,2026,80,450,121,99,237,3014
20191102,2079,80,454,109,102,223,3047
20191103,2141,81,450,102,103,191,3067
20191104,2097,74,430,111,96,168,2976
20191105,2236,76,438,111,113,188,3163
20191106,2328,76,420,109,116,196,3245
20191107,2385,81,392,106,109,196,3270
20191108,2308,77,363,106,100,225,3179
20191109,2226,76,360,100,102,292,3156
20191110,2175,70,397,107,106,278,3132
20191111,2141,67,362,107,101,246,3024
20191112,2292,77,382,107,113,231,3202
20191113,2337,81,369,107,125,238,3257
20191114,2372,83,346,108,118,249,3276
20191115,2366,88,343,111,122,239,3270
20191116,2383,88,333,111,116,230,3262
20191117,2380,84,323,111,124,252,3274
20191118,2262,76,303,113,106,297,3156
20191119,2390,88,331,113,113,267,3302
20191120,2451,93,347,111,119,214,3335
20191121,2470,96,336,111,95,246,3354
20191122,2420,89,328,111,123,278,3348
20191123,2428,84,318,111,139,268,3349
20191124,2376,81,311,113,123,309,3312
20191125,2324,87,284,137,85,293,3210
20191126,2413,79,316,111,120,303,3342
20191127,2436,73,304,112,110,331,3365
20191128,2413,70,310,112,102,335,3341
20191129,2345,73,316,116,104,338,3292
20191130,2347,73,325,117,110,337,3309
20191201,2334,72,320,110,107,328,3272
20191202,2252,60,291,102,98,265,3068
20191203,2308,67,327,96,105,287,3191
20191204,2309,76,303,100,115,319,3222
20191205,2343,79,296,103,114,333,3268
20191206,2346,98,316,99,113,358,3329
20191207,2367,83,324,110,113,324,3322
20191208,2340,87,332,108,105,335,3306
20191209,2280,85,314,104,101,302,3187
20191210,2372,83,350,104,113,301,3323
20191211,2523,82,328,106,109,259,3407
20191212,2597,81,315,105,108,234,3439
20191213,2558,77,288,105,97,252,3377
20191214,2355,73,291,106,90,262,3179
20191215,2390,76,307,111,90,266,3240
20191216,2254,74,279,104,84,334,3130
20191217,2306,78,300,104,94,369,3250
20191218,2375,82,287,99,100,389,3331
20191219,2458,83,300,101,104,331,3377
20191220,2522,84,289,102,104,311,3413
20191221,2613,87,309,102,103,253,3466
20191222,2556,85,290,102,103,313,3448
20191223,2427,80,272,101,96,378,3353
20191224,2535,90,320,101,102,335,3483
20191225,2612,91,309,101,104,318,3534
20191226,2601,90,288,100,105,313,3497
20191227,2687,91,281,99,121,265,3545
20191228,2649,92,286,101,112,315,3555
20191229,2608,88,275,101,98,348,3517
20191230,2544,82,277,100,100,330,3433
20191231,2657,82,297,100,99,317,3553
20200101,2678,81,303,106,108,290,3568
20200102,2571,78,280,110,106,320,3464
20200103,2601,81,298,110,104,287,3480
20200104,2627,86,295,101,106,267,3481
20200105,2680,81,299,101,107,211,3479
20200106,2531,84,273,97,96,282,3364
20200107,2593,78,307,97,97,316,3487
20200108,2663,76,307,97,101,286,3531
20200109,2651,77,271,97,99,289,3484
20200110,2601,75,289,95,98,330,3487
20200111,2582,74,274,95,105,409,3539
20200112,2619,76,273,98,107,355,3528
20200113,2607,74,256,92,103,301,3433
20200114,2666,81,297,92,99,272,3508
20200115,2609,80,305,98,96,272,3460
20200116,2510,77,269,108,94,328,3386
20200117,2469,79,276,92,95,321,3331
20200118,2568,83,290,89,104,277,3412
20200119,2591,81,287,97,102,295,3453
20200120,2445,80,269,92,97,334,3317
20200121,2605,86,309,83,111,312,3505
20200122,2656,84,301,89,114,334,3578
20200123,2570,80,283,96,105,447,3581
20200124,2595,86,291,96,100,420,3588
20200125,2685,85,306,97,103,348,3623
20200126,2692,89,314,97,111,277,3581
20200127,2569,85,274,94,97,270,3389
20200128,2683,82,295,96,103,305,3565
20200129,2711,78,298,97,104,312,3599
20200130,2744,83,307,97,100,266,3597
20200131,2732,89,312,97,105,289,3623
20200201,2744,91,305,97,102,299,3638
20200202,2663,92,279,96,102,337,3571
20200203,2544,83,260,97,102,378,3464
20200204,2654,85,301,96,113,329,3577
