Date,east,siberia,south,volga,ural,center,northwest
19-05-2020,107097,483829,256116,276314,611048,531347,258343
20-05-2020,106031,484503,251935,273716,612860,530812,264421
21-05-2020,108399,484354,246024,270683,621900,537307,269768
22-05-2020,107119,484542,250181,273125,616249,547178,274344
23-05-2020,107790,484481,251679,267767,610625,498429,269929
24-05-2020,105695,481605,250428,266877,584356,486180,261652
25-05-2020,104765,485255,254407,273398,595690,519663,267312
26-05-2020,104655,485169,259237,271327,597546,517608,248022
27-05-2020,103637,490174,258923,273055,596875,504771,245563
28-05-2020,104158,490155,259442,266117,595718,495818,241937
29-05-2020,101479,490819,257243,270665,591521,501229,242402
30-05-2020,98379,488664,253242,261672,551309,486267,234943
31-05-2020,97353,496348,251476,261019,540466,490172,227337
01-06-2020,99467,502511,255510,279146,591973,502770,247053
02-06-2020,99182,497002,249369,277466,596781,516290,244536
03-06-2020,101665,493614,250029,278718,590240,525479,242148
04-06-2020,102813,490489,251487,277552,585358,522750,242280
05-06-2020,102861,496542,252335,274623,573038,516619,237805
06-06-2020,99234,495963,252837,273909,536026,482166,238996
07-06-2020,97847,492181,253697,274596,519418,465312,234424
08-06-2020,100604,496872,260960,282395,572026,491529,240753
09-06-2020,103211,500400,266409,277228,577808,496012,246088
10-06-2020,102752,492348,270754,280515,590507,499906,252875
11-06-2020,104378,495824,277207,280262,584991,498088,253337
12-06-2020,99785,499581,267703,273439,553298,472891,246663
13-06-2020,99754,493814,260462,267813,554361,475456,233142
14-06-2020,96647,492694,253784,266229,545539,472169,229703
15-06-2020,101091,493637,263761,269297,564218,510563,239591
16-06-2020,102819,493911,267058,272199,560281,518020,240258
17-06-2020,103044,503247,269908,263620,576829,520364,243683
