Date,east,siberia,south,volga,ural,center,northwest,sum
01-01-2019,135.492,615.794,264.035,334.046,749.597,631.081,337.766,3067.811
02-01-2019,137.733,632.423,273.416,319.276,779.697,652.594,344.72,3139.859
03-01-2019,139.345,645.75,287.602,331.398,789.589,640.97,354.79,3189.444
04-01-2019,141.024,649.247,292.946,333.103,797.189,641.685,371.558,3226.752
05-01-2019,140.699,648.043,288.511,337.266,800.883,656.508,374.758,3246.668
06-01-2019,141.504,641.606,289.195,342.072,777.737,667.552,375.887,3235.553
07-01-2019,141.659,614.856,283.438,348.598,789.599,672.399,374.546,3225.095
08-01-2019,143.727,631.664,314.206,353.4,785.566,684.388,368.863,3281.814
09-01-2019,145.863,638.64,348.802,370.384,811.822,694.582,376.55,3386.643
10-01-2019,144.549,646.059,334.304,368.066,823.824,713.74,381.599,3412.141
11-01-2019,144.285,654.435,334.108,368.451,825.315,718.274,381.891,3426.759
12-01-2019,144.248,647.015,326.25,345.992,813.95,698.918,379.919,3356.292
13-01-2019,144.821,645.762,307.527,339.16,782.007,693.202,373.925,3286.404
14-01-2019,147.419,658.531,317.414,352.876,803.952,715.154,373.425,3368.771
15-01-2019,148.952,651.236,315.16,350.837,805.79,719.514,372.55,3364.039
16-01-2019,149.375,647.359,316.522,350.934,817.702,717.376,379.88,3379.148
17-01-2019,151.38,649.43,314.145,354.092,811.282,733.343,380.629,3394.301
18-01-2019,149.899,651.119,316.027,349.127,808.059,718.227,382.583,3375.041
19-01-2019,144.853,636.575,304.747,336.513,791.369,698.463,377.329,3289.849
20-01-2019,144.859,630.261,299.717,340.565,782.461,697.615,379.486,3274.964
21-01-2019,148.922,635.743,313.152,353.857,805.229,746.164,379.871,3382.938
22-01-2019,147.792,641.187,322.193,363.182,804.021,776.388,360.987,3415.75
23-01-2019,147.605,650.161,333.74,367.777,812.954,805.396,357.645,3475.278
24-01-2019,145.03,659.935,322.432,367.493,824.123,802.806,357.305,3479.124
25-01-2019,145.491,653.297,326.749,369.971,824.44,803.614,357.142,3480.704
26-01-2019,142.204,650.221,310.936,354.103,822.415,772.622,362.903,3415.404
27-01-2019,141.272,644.938,300.099,352.792,818.61,760.253,345.461,3363.425
28-01-2019,143.673,662.908,322.296,359.777,837.318,777.116,353.982,3457.07
29-01-2019,143.164,667.072,313.011,358.935,830.463,772.456,349.432,3434.533
31-01-2019,146.313,653.52,309.372,352.53,835.749,748.269,362.042,3407.795
01-02-2019,146.541,665.771,301.024,352.583,827.553,745.947,373.301,3412.72
02-02-2019,145.086,671.154,291.927,342.439,820.092,718.86,369.745,3359.303
03-02-2019,143.184,667.379,292.233,333.606,809.852,708.351,365.329,3319.934
04-02-2019,147.228,676.086,303.663,351.029,851.674,723.836,371.689,3425.205
05-02-2019,144.06,685.401,301.688,351.293,854.316,728.802,374.67,3440.23
06-02-2019,145.984,691.41,302.805,350.371,850.575,740.329,377.093,3458.567
07-02-2019,147.031,693.286,305.284,349.219,843.798,738.173,380.528,3457.319
08-02-2019,147.508,692.675,305.658,353.643,824.153,744.383,365.467,3433.487
09-02-2019,145.385,689.66,298.068,344.498,793.794,718.773,365.476,3355.654
10-02-2019,144.051,685.016,305.645,342.053,769.917,697.131,354.489,3298.302
11-02-2019,146.588,696.779,310.367,354.745,788.686,733.262,356.073,3386.5
12-02-2019,146.525,694.782,305.623,354.663,781.787,739.788,352.476,3375.644
13-02-2019,145.826,686.138,305.924,353.859,775.449,743.949,353.007,3364.152
14-02-2019,143.127,662.916,309.193,350.545,784.444,744.706,352.733,3347.664
15-02-2019,140.154,650.681,317.285,352.014,787.599,743.801,336.709,3328.243
16-02-2019,135.859,632.312,308.107,337.393,774.072,726.005,332.205,3245.953
17-02-2019,133.68,620.398,288.83,330.694,758.325,715.22,347.613,3194.76
18-02-2019,134.162,629.469,302.409,347.906,777.559,731.431,356.173,3279.109
19-02-2019,134.649,623.878,305.366,353.427,789.3,720.005,353.114,3279.739
20-02-2019,134.338,608.632,314.01,345.558,810.389,726.587,351.268,3290.782
21-02-2019,131.728,615.02,319.412,343.328,808.074,728.813,347.832,3294.207
22-02-2019,131.417,607.134,305.779,343.38,803.922,750.018,357.312,3298.962
23-02-2019,129.075,598.47,301.476,340.687,792.365,724.713,335.596,3222.382
24-02-2019,128.921,600.056,304.945,336.794,771.163,704.429,348.32,3194.628
25-02-2019,130.824,616.261,315.918,347.444,793.19,732.895,352.471,3289.003
26-02-2019,130.976,621.486,314.42,342.392,782.76,729.591,351.063,3272.688
27-02-2019,128.904,613.989,314.73,343.543,783.487,729.328,354.896,3268.877
28-02-2019,127.236,616.542,314.334,319.057,779.288,740.82,352.284,3249.561
02-03-2019,127.113,606.836,313.34,306.716,770.571,717.761,356.04,3198.377
03-03-2019,125.238,608.509,309.45,307.681,756.812,715.098,351.134,3173.922
04-03-2019,127.162,613.69,318.727,322.345,766.188,742.19,349.085,3239.387
05-03-2019,125.686,610.839,312.4,317.674,773.047,731.708,342.971,3214.325
06-03-2019,126.529,616.163,308.56,306.912,775.2,737.983,344.782,3216.129
07-03-2019,125.942,614.455,299.002,319.225,766.377,729.313,341.75,3196.064
08-03-2019,124.48,598.387,285.25,301.813,744.549,690.605,341.704,3086.788
09-03-2019,124.415,603.345,280.777,297.249,757.305,686.717,327.716,3077.524
10-03-2019,123.929,605.354,280.944,291.937,751.12,689.231,332.983,3075.498
11-03-2019,125.299,613.048,293.597,305.921,763.722,717.94,336.548,3156.075
12-03-2019,127.101,608.646,292.35,303.069,751.872,720.132,341.089,3144.259
13-03-2019,127.969,605.781,298.738,309.769,747.186,724.739,340.062,3154.244
14-03-2019,124.887,600.02,300.655,314.699,745.997,726.895,341.278,3154.431
15-03-2019,125.508,592.651,298.203,319.351,757.105,716.736,340.096,3149.65
