DATES,Natural gas,Coal,Solar,Petroleum,Wind,Other,Nuclear,Hydro
01/01/2019,2688195,2548957,104281,53020,678656,175290,2475369,805858
01/02/2019,3570605,2827246,105843,45882,461627,196685,2485356,905004
01/03/2019,3566144,2729826,109920,42939,671262,198985,2488783,870783
01/04/2019,3490990,2681310,111123,61083,610732,195438,2472195,842546
01/05/2019,3063824,2512868,68113,54236,650914,185428,2444462,826207
01/06/2019,2485201,2202452,95462,53095,1318665,189819,2440791,795177
01/07/2019,2969537,2391107,108881,58452,1134480,184049,2461522,884394
01/08/2019,2912406,2340983,99995,59444,1090515,182411,2475432,875374
01/09/2019,3273026,2703650,106383,84570,796805,176344,2475167,898708
01/10/2019,3528652,3053049,121694,106712,846976,186213,2462895,911828
01/11/2019,3454310,3202239,105192,107051,738726,186086,2466577,930896
01/12/2019,3022973,2997064,71099,87447,795672,187598,2472228,843824
01/13/2019,3360883,3092714,90383,93564,355611,183996,2461703,832632
01/14/2019,3955221,3349830,48540,110107,294425,190635,2463550,936774
01/15/2019,3737252,3434431,52921,100942,502875,203611,2481128,883504
01/16/2019,3509472,3406470,96937,144585,582624,189171,2447023,831401
01/17/2019,3468943,3348667,72229,113245,471561,192867,2477074,846053
01/18/2019,2724967,3136610,108628,65859,1040183,200133,2478247,779219
01/19/2019,2600730,3025015,115611,70735,1070223,205371,2489086,716527
01/20/2019,3068650,3419824,97279,92590,768898,218811,2501400,722414
01/21/2019,3426143,3735011,131079,155813,1373745,248046,2502952,879225
01/22/2019,3144231,3732046,134643,152823,1134885,215977,2498293,846994
01/23/2019,3292635,3422016,130902,92430,835406,181788,2498278,749473
01/24/2019,3303879,3180119,135924,94207,1011728,165642,2503050,768762
01/25/2019,3627097,3457901,153959,115065,602766,180679,2496248,826221
01/26/2019,3301924,3393762,146366,77156,541535,186562,2498806,771076
01/27/2019,2989458,3177268,122006,60510,787745,187342,2508138,737588
01/28/2019,3104977,3123111,114810,88954,1267750,175452,2508167,806205
01/29/2019,3833300,3518194,127772,104774,844772,166132,2507668,847163
01/30/2019,4232092,3885468,126122,131387,661771,220708,2500993,890762
